,№,"Страна, город",Заражений,Смертей,Выздоровлений,% Смертей
0,1,Москва,173 497 + 2 054,2 254 +71,71 251 +71,1.29%
1,2,Московская область,36 730 + 774,380 +21,6 843 +21,1.03%
2,3,Санкт-Петербург,14 846 + 383,167 +9,4 783 +9,1.12%
3,4,Нижегородская область,8 963 + 228,84 +6,3 244 +6,0.93%
4,5,Свердловская область,4 693 + 268,23 +2,1 827 +2,0.49%
5,6,Республика Дагестан,4 579 + 124,151 +21,4 402 +21,3.29%
6,7,Ростовская область,4 287 + 154,35 +1,1 529 +1,0.81%
7,8,Красноярский край,3 847 + 147,29 +0,834 +0,0.75%
8,9,Калужская область,3 653 + 93,29 +0,1 237 +0,0.79%
9,10,Краснодарский край,3 582 + 76,29 +0,2 393 +0,0.80%
10,11,Тульская область,3 532 + 110,30 +6,1 564 +6,0.84%
11,12,Брянская область,3 363 + 109,31 +0,1 893 +0,0.92%
12,13,Рязанская область,3 283 + 77,7 +0,848 +0,0.21%
13,14,Мурманская область,3 076 + 46,7 +0,1 728 +0,0.22%
14,15,Республика Татарстан,3 026 + 60,10 +1,2 350 +1,0.33%
15,16,Республика Башкортостан,3 021 + 79,18 +0,948 +0,0.59%
16,17,Ярославская область,2 892 + 84,13 +0,653 +0,0.44%
17,18,Республика Северная Осетия — Алания,2 807 + 52,37 +5,1 660 +5,1.31%
18,19,Курская область,2 787 + 68,10 +1,1 204 +1,0.35%
19,20,Тамбовская область,2 772 + 73,7 +1,990 +1,0.25%
20,21,Саратовская область,2 746 + 97,32 +2,942 +2,1.16%
21,22,Ленинградская область,2 660 + 51,11 +0,1 294 +0,0.41%
22,23,Республика Чувашия,2 626 + 81,12 +0,1 095 +0,0.45%
23,24,Кабардино-Балкарская Республика,2 592 + 83,14 +2,824 +2,0.54%
24,25,Челябинская область,2 586 + 148,15 +1,1 106 +1,0.58%
25,26,Волгоградская область,2 581 + 111,16 +0,829 +0,0.61%
26,27,Владимирская область,2 495 + 61,18 +1,486 +1,0.72%
27,28,Новосибирская область,2 493 + 96,31 +0,955 +0,1.24%
28,29,Самарская область,2 437 + 97,18 +1,829 +1,0.73%
29,30,Ямало-Ненецкий автономный округ,2 249 + 47,7 +1,856 +1,0.31%
30,31,Ставропольский край,2 238 + 80,43 +1,920 +1,1.92%
31,32,Ульяновская область,2 196 + 75,7 +0,614 +0,0.31%
32,33,Орловская область,2 082 + 59,18 +2,1 046 +2,0.86%
33,34,Пензенская область,2 066 + 86,17 +0,1 581 +0,0.82%
34,35,Белгородская область,2 059 + 79,15 +0,771 +0,0.72%
35,36,Ханты-Мансийский АО,2 028 + 104,17 +0,716 +0,0.83%
36,37,Республика Ингушетия,1 955 + 49,50 +3,786 +3,2.55%
37,38,Смоленская область,1 933 + 80,29 +4,662 +4,1.50%
38,39,Липецкая область,1 906 + 70,5 +0,641 +0,0.26%
39,40,Хабаровский край,1 890 + 63,11 +1,843 +1,0.58%
40,41,Приморский край,1 836 + 57,17 +0,885 +0,0.92%
41,42,Республика Мордовия,1 776 + 49,12 +0,636 +0,0.67%
