,№,"Страна, город",Заражений,Смертей,Выздоровлений,% Смертей
0,1,США,1 747 781 + 2 124,102 197 +102,490 256 +102,5.84%
1,2,Бразилия,414 661 + 2 840,25 697 +99,166 647 +99,6.19%
2,3,Россия,379 376 + 8 431,4 148 +174,151 111 +174,1.09%
3,4,Испания,283 849 + 0,28 752 +0,196 958 +0,10.12%
4,5,Великобритания,267 240 + 0,37 460 +0,857 +0,14.01%
5,6,Италия,231 139 + 0,33 072 +0,147 101 +0,14.30%
6,7,Франция,182 942 + 0,28 596 +0,66 584 +0,15.63%
7,8,Германия,181 895 + 0,8 533 +0,163 200 +0,4.69%
8,9,Турция,159 797 + 0,4 431 +0,122 793 +0,2.77%
9,10,Индия,159 138 + 1 052,4 542 +8,67 983 +8,2.85%
10,11,Иран,143 849 + 2 258,7 627 +63,112 988 +63,5.30%
11,12,Перу,135 905 + 0,3 983 +0,56 169 +0,2.93%
12,13,Канада,87 519 + 0,6 765 +0,46 164 +0,7.72%
13,14,Китай,84 239 + 0,4 642 +0,78 602 +0,5.51%
14,15,Чили,82 289 + 0,841 +0,33 540 +0,1.02%
15,16,Саудовская Аравия,80 185 + 1 644,441 +16,54 553 +16,0.54%
16,17,Мексика,78 023 + 3 463,8 597 +463,54 383 +463,11.01%
17,18,Пакистан,61 227 + 2 076,1 260 +35,20 231 +35,2.05%
18,19,Бельгия,57 849 + 257,9 388 +24,15 572 +24,16.22%
19,20,Катар,50 914 + 1 967,33 +3,15 399 +3,0.06%
20,21,Нидерланды,45 950 + 182,5 903 +32,914 +32,12.84%
21,22,Бангладеш,40 321 + 2 029,559 +15,8 425 +15,1.38%
22,23,Беларусь,39 858 + 902,219 +5,16 660 +5,0.54%
23,24,Эквадор,38 103 + 0,3 275 +0,18 425 +0,8.59%
24,25,Швеция,35 727 + 639,4 266 +46,4 971 +46,11.94%
25,26,Сингапур,33 249 + 373,23 +0,17 276 +0,0.06%
26,27,ОАЭ,32 532 + 563,258 +3,16 685 +3,0.79%
27,28,Португалия,31 596 + 304,1 369 +13,18 637 +13,4.33%
28,29,Швейцария,30 796 + 20,1 917 +0,28 300 +0,6.22%
29,30,ЮАР,25 937 + 0,552 +0,13 451 +0,2.12%
30,31,Ирландия,24 803 + 0,1 631 +0,22 089 +0,6.57%
31,32,Индонезия,24 538 + 687,1 496 +23,6 240 +23,6.09%
32,33,Кувейт,24 112 + 845,185 +10,8 698 +10,0.76%
33,34,Колумбия,24 104 + 0,803 +0,6 111 +0,3.33%
34,35,Польша,22 600 + 127,1 030 +2,10 560 +2,4.55%
35,36,Украина,22 382 + 477,669 +11,8 439 +11,2.98%
36,37,Египет,19 666 + 0,816 +0,5 205 +0,4.14%
37,38,Румыния,18 791 + 197,1 231 +4,12 629 +4,6.55%
38,39,Израиль,16 809 + 16,281 +0,14 602 +0,1.67%
39,40,Япония,16 651 + 0,858 +0,13 973 +0,5.15%
40,41,Австрия,16 628 + 37,668 +23,15 286 +23,4.01%
41,42,Доминиканская Республика,15 723 + 0,474 +0,8 790 +0,3.01%
42,43,Филиппины,15 588 + 539,921 +17,3 598 +17,5.90%
43,44,Аргентина,13 933 + 0,500 +0,4 349 +0,3.58%
44,45,Афганистан,13 036 + 580,235 +8,1 209 +8,1.80%
45,46,Панама,11 728 + 0,315 +0,7 379 +0,2.68%
46,47,Дания,11 512 + 32,568 +3,10 180 +3,4.93%
47,48,Южная Корея,11 344 + 79,269 +0,10 340 +0,2.37%
48,49,Сербия,11 300 + 25,241 +1,6 438 +1,2.13%
49,50,Бахрейн,9 977 + 285,15 +0,5 295 +0,0.15%
50,51,Казахстан,9 576 + 272,37 +0,4 893 +0,0.38%
51,52,Чехия,9 103 + 17,317 +0,6 377 +0,3.48%
52,53,Оман,9 009 + 636,40 +1,2 177 +1,0.44%
53,54,Алжир,8 857 + 0,623 +0,5 129 +0,7.03%
54,55,Нигерия,8 733 + 0,254 +0,2 501 +0,2.90%
55,56,Норвегия,8 406 + 5,236 +1,7 727 +1,2.80%
56,57,Армения,8 216 + 442,113 +15,3 287 +15,1.37%
57,58,Боливия,7 768 + 632,280 +6,689 +6,3.60%
58,59,Марокко,7 636 + 35,202 +0,5 109 +0,2.64%
59,60,Малайзия,7 629 + 10,115 +0,6 169 +0,1.50%
60,61,Молдова,7 537 + 0,276 +2,4 123 +2,3.66%
61,62,Гана,7 303 + 0,34 +0,2 412 +0,0.46%
62,63,Австралия,7 150 + 11,103 +0,6 580 +0,1.44%
63,64,Финляндия,6 743 + 51,313 +0,5 500 +0,4.64%
64,65,Камерун,5 436 + 0,175 +0,1 996 +0,3.21%
65,66,Ирак,5 135 + 0,175 +0,2 904 +0,3.40%
66,67,Гондурас,4 640 + 239,194 +6,506 +6,4.18%
67,68,Азербайджан,4 568 + 0,54 +0,2 897 +0,1.18%
68,69,Судан,4 346 + 200,195 +11,749 +11,4.48%
69,70,Гватемала,4 145 + 191,68 +5,493 +5,1.64%
70,71,Люксембург,4 001 + 0,110 +0,3 791 +0,2.74%
71,72,Венгрия,3 816 + 23,509 +4,1 996 +4,13.33%
72,73,Таджикистан,3 563 + 139,47 +0,1 674 +0,1.31%
73,74,Узбекистан,3 437 + 68,14 +0,2 685 +0,0.40%
74,75,Сенегал,3 348 + 95,39 +1,1 686 +1,1.16%
75,76,Гвинея,3 275 + 0,20 +0,1 673 +0,0.61%
76,77,Таиланд,3 065 + 11,57 +0,2 945 +0,1.85%
77,78,Джибути,2 914 + 217,20 +2,1 241 +2,0.68%
78,79,Греция,2 903 + 0,173 +0,1 374 +0,5.95%
79,80,Конго,2 660 + 114,69 +1,381 +1,2.59%
80,81,Кот-д'Ивуар,2 556 + 0,31 +0,1 302 +0,1.21%
81,82,Болгария,2 477 + 17,134 +1,965 +1,5.40%
82,83,Босния и Герцеговина,2 462 + 27,153 +2,1 781 +2,6.21%
83,84,Габон,2 319 + 0,14 +0,631 +0,0.60%
84,85,Хорватия,2 245 + 1,102 +1,2 051 +1,4.54%
85,86,Сальвадор,2 194 + 85,39 +2,1 002 +2,1.77%
86,87,Северная Македония,2 077 + 38,121 +2,1 486 +2,5.82%
87,88,Куба,1 983 + 9,82 +0,1 734 +0,4.13%
88,89,Эстония,1 851 + 11,66 +0,1 574 +0,3.56%
89,90,Исландия,1 805 + 0,10 +0,1 792 +0,0.55%
90,91,Сомали,1 731 + 0,67 +0,265 +0,3.87%
91,92,Майотта,1 670 + 25,21 +1,1 315 +1,1.25%
92,93,Литва,1 656 + 9,68 +2,1 193 +2,4.10%
93,94,Кения,1 618 + 147,58 +3,421 +3,3.58%
94,95,Киргизия,1 594 + 74,16 +0,1 066 +0,1.00%
95,96,Словакия,1 520 + 5,28 +0,1 332 +0,1.84%
96,97,Новая Зеландия,1 504 + 0,22 +1,1 474 +1,1.46%
97,98,Шри-Ланка,1 503 + 34,10 +0,745 +0,0.66%
98,99,Словения,1 473 + 2,108 +0,1 356 +0,7.33%
99,100,Мальдивы,1 457 + 0,5 +0,197 +0,0.34%
